# Time forceX forceY forceZ normalForce
0 0 0 0 0
0.01 18.1134 82.759 -1.00224e-07 82.7593
0.02 34.1609 156.413 -1.08438e-07 156.414
0.03 44.3736 207.205 -1.19108e-07 207.207
0.04 50.777 243.013 -1.27866e-07 243.016
0.05 55.0026 269.945 -1.34719e-07 269.948
0.06 58.2952 290.957 -1.39904e-07 290.961
0.07 61.2659 308.088 -1.45084e-07 308.093
0.08 63.7549 322.545 -1.5029e-07 322.55
0.09 65.8882 334.984 -1.55263e-07 334.989
0.1 67.7888 345.848 -1.60152e-07 345.854
0.11 69.4652 355.449 -1.64899e-07 355.456
0.12 70.9561 364.006 -1.69678e-07 364.013
0.13 72.3005 371.677 -1.74339e-07 371.684
0.14 73.5111 378.584 -1.79008e-07 378.593
0.15 74.5995 384.825 -1.83479e-07 384.834
0.16 75.5798 390.472 -1.88069e-07 390.481
0.17 76.4636 395.584 -1.92517e-07 395.593
0.18 77.2543 400.207 -1.96939e-07 400.217
0.19 77.9585 404.378 -2.01381e-07 404.388
0.2 78.5806 408.126 -2.05763e-07 408.136
0.21 79.1238 411.473 -2.10165e-07 411.484
0.22 79.5913 414.436 -2.14396e-07 414.447
0.23 79.983 417.027 -2.18627e-07 417.038
0.24 80.3003 419.251 -2.22936e-07 419.263
0.25 80.542 421.11 -2.27218e-07 421.122
0.26 80.706 422.602 -2.31433e-07 422.614
0.27 80.7874 423.717 -2.35634e-07 423.729
0.28 80.7761 424.439 -2.39752e-07 424.451
0.29 80.6627 424.747 -2.43993e-07 424.759
0.3 80.4378 424.608 -2.48244e-07 424.62
0.31 80.0972 423.978 -2.5249e-07 423.991
0.32 79.6412 422.799 -2.56608e-07 422.811
0.33 79.0579 420.979 -2.60965e-07 420.991
0.34 78.3201 418.363 -2.65455e-07 418.375
0.35 77.3462 414.545 -2.70093e-07 414.557
0.36 74.4093 401.639 -2.778e-07 401.65
0.37 69.1212 377.912 -2.85633e-07 377.922
0.38 63.6545 353.24 -2.90135e-07 353.249
0.39 58.7808 331.189 -2.93671e-07 331.197
0.4 54.5752 312.136 -2.97057e-07 312.144
0.41 50.9488 295.695 -3.00587e-07 295.701
0.42 47.7046 280.98 -3.04526e-07 280.986
0.43 44.7432 267.544 -3.08568e-07 267.55
0.44 42.0256 255.212 -3.12571e-07 255.217
0.45 39.5166 243.825 -3.16779e-07 243.83
0.46 37.1916 233.271 -3.20936e-07 233.275
0.47 35.0283 223.449 -3.29166e-07 223.453
0.48 33.0058 214.265 -3.29284e-07 214.269
0.49 31.1044 205.628 -3.33492e-07 205.632
0.5 29.3064 197.46 -3.37721e-07 197.464
0.51 27.5988 189.7 -3.41944e-07 189.703
0.52 25.9703 182.298 -3.46275e-07 182.301
0.53 24.4113 175.21 -3.50634e-07 175.213
0.54 22.9131 168.396 -3.55052e-07 168.399
0.55 21.4696 161.83 -3.59556e-07 161.832
0.56 20.0764 155.49 -3.63943e-07 155.493
0.57 18.7281 149.354 -3.68296e-07 149.356
0.58 17.4482 143.526 -3.72746e-07 143.528
0.59 16.2742 138.178 -3.77143e-07 138.18
0.6 15.2002 133.284 -3.81486e-07 133.286
0.61 14.2165 128.799 -3.85704e-07 128.8
0.62 13.326 124.737 -3.90008e-07 124.739
0.63 12.535 121.128 -3.94368e-07 121.13
0.64 11.8157 117.845 -3.98906e-07 117.847
0.65 11.1454 114.785 -4.03279e-07 114.787
0.66 10.5144 111.904 -4.07616e-07 111.906
0.67 9.91606 109.172 -4.11994e-07 109.174
0.68 9.34359 106.558 -4.16491e-07 106.559
0.69 8.80261 104.087 -4.20923e-07 104.089
0.7 8.28283 101.713 -4.25399e-07 101.715
0.71 7.79194 99.4713 -4.29874e-07 99.4725
0.72 7.31989 97.3152 -4.34305e-07 97.3164
0.73 6.87352 95.2767 -4.38783e-07 95.2778
0.74 6.44646 93.3265 -4.43337e-07 93.3276
0.75 6.03614 91.4535 -4.47837e-07 91.4546
0.76 5.64937 89.6889 -4.52307e-07 89.69
0.77 5.27919 88.0008 -4.56755e-07 88.0019
0.78 4.92715 86.3963 -4.6121e-07 86.3973
0.79 4.60011 84.9065 -4.65686e-07 84.9075
0.8 4.29007 83.4949 -4.7008e-07 83.4958
0.81 3.99503 82.152 -4.74434e-07 82.1529
0.82 3.71993 80.9005 -4.78908e-07 80.9014
0.83 3.46915 79.7601 -4.83321e-07 79.761
0.84 3.24892 78.7592 -4.87714e-07 78.7601
0.85 3.05225 77.8657 -4.92156e-07 77.8666
0.86 2.87835 77.0758 -4.9674e-07 77.0767
0.87 2.73778 76.4378 -5.01188e-07 76.4386
0.88 2.63197 75.9581 -5.05581e-07 75.9589
0.89 2.54025 75.5421 -5.09979e-07 75.5429
