# Time forceX forceY forceZ normalForce
0 0 0 0 0
0.01 21.86 294.587 0.000174037 294.587
0.02 44.308 588.931 4.81038e-05 588.932
0.03 66.8132 883.197 3.11718e-05 883.197
0.04 89.3279 1177.36 1.14729e-05 1177.36
0.05 111.849 1471.4 -3.09017e-05 1471.4
0.06 134.379 1765.33 -6.46921e-05 1765.33
0.07 156.918 2059.13 -9.05645e-05 2059.13
0.08 179.467 2352.8 -0.000102988 2352.81
0.09 202.025 2646.35 -0.000103915 2646.35
0.1 224.592 2939.77 -9.40613e-05 2939.77
0.11 247.168 3233.06 -8.26654e-05 3233.07
0.12 269.751 3526.22 -6.88497e-05 3526.23
0.13 292.341 3819.26 -5.2765e-05 3819.27
0.14 314.844 4110.91 -4.34325e-05 4110.92
0.15 337.261 4401.25 -4.1457e-05 4401.27
0.16 359.635 4690.86 -2.22486e-05 4690.87
0.17 381.842 4978.08 -3.22774e-05 4978.1
0.18 403.977 5264.26 -1.61036e-05 5264.28
0.19 425.912 5547.65 1.73766e-05 5547.67
0.2 447.709 5829.17 2.3363e-05 5829.2
0.21 469.261 6107.41 3.46196e-05 6107.43
0.22 490.535 6382 3.24649e-05 6382.03
0.23 511.421 6651.57 1.6862e-05 6651.6
0.24 531.801 6914.67 3.05746e-06 6914.71
0.25 551.171 7164.72 -1.67158e-05 7164.76
0.26 562.464 7305.49 -0.000375081 7305.52
0.27 567.656 7363.97 -1.89036e-05 7364
0.28 570.506 7389.21 5.45119e-05 7389.25
0.29 571.973 7392.98 0.000151705 7393.02
0.3 572.985 7388.15 1.67145e-05 7388.19
0.31 573.647 7376.75 -9.76723e-05 7376.79
0.32 573.932 7359.11 -9.67936e-05 7359.15
0.33 573.772 7334.81 -7.92546e-05 7334.85
0.34 573.044 7302.85 -6.26664e-05 7302.89
0.35 571.581 7262.19 -4.66206e-05 7262.22
0.36 569.229 7212.21 -4.7902e-05 7212.25
0.37 565.827 7151.97 -3.16733e-05 7152
0.38 561.245 7080.19 -2.775e-05 7080.23
0.39 555.365 6995.22 -2.1222e-05 6995.26
0.4 548.114 6895.52 -2.82612e-05 6895.55
0.41 539.334 6778.24 -2.29043e-05 6778.27
0.42 528.8 6639.66 -3.85163e-05 6639.69
0.43 516.201 6475.18 -2.98959e-05 6475.21
0.44 501.09 6278.65 -5.69797e-05 6278.68
0.45 482.759 6040.86 -4.54388e-05 6040.88
0.46 459.919 5745.17 -9.32846e-05 5745.2
0.47 430.547 5365.52 -8.16139e-05 5365.54
0.48 395.146 4909.8 -5.61749e-05 4909.82
0.49 356.477 4415.08 -7.41784e-05 4415.1
0.5 323.702 4002.92 -0.000113701 4002.93
0.51 297.159 3673.69 3.63805e-05 3673.7
0.52 274.843 3398.74 0.000129547 3398.75
0.53 255.79 3163.95 6.8218e-05 3163.96
0.54 239.386 2959.5 5.68335e-05 2959.51
0.55 225.747 2785.42 4.6199e-05 2785.42
0.56 217.723 2678.63 1.28613e-05 2678.63
0.57 213.178 2608.65 7.67811e-05 2608.66
0.58 210.585 2555.46 2.92291e-06 2555.46
0.59 209.292 2511.18 -2.04307e-05 2511.19
0.6 208.947 2472.04 -3.65618e-05 2472.05
0.61 209.32 2436.05 -4.40168e-05 2436.06
0.62 210.245 2402.13 -4.76597e-05 2402.13
0.63 211.591 2369.65 -3.52683e-05 2369.65
0.64 213.251 2338.25 -3.1427e-05 2338.25
0.65 215.141 2307.7 -3.0732e-05 2307.7
0.66 217.191 2277.86 -2.94525e-05 2277.87
0.67 219.369 2248.91 -2.79843e-05 2248.92
0.68 221.62 2220.61 -2.6567e-05 2220.62
0.69 223.906 2192.84 -3.55433e-05 2192.84
0.7 226.241 2166.08 -2.82978e-05 2166.09
0.71 228.575 2139.86 -2.05099e-05 2139.87
0.72 230.882 2114.02 -9.57362e-06 2114.03
0.73 233.144 2088.43 5.44668e-06 2088.43
0.74 235.36 2063.11 2.02265e-05 2063.12
0.75 237.528 2038.1 2.25923e-05 2038.1
0.76 239.644 2013.38 3.04453e-05 2013.38
0.77 241.698 1988.8 3.59167e-05 1988.8
0.78 243.698 1964.5 3.16928e-05 1964.51
0.79 245.64 1940.46 3.49378e-05 1940.46
0.8 247.517 1916.59 4.35547e-05 1916.59
0.81 249.328 1892.91 3.66962e-05 1892.91
0.82 251.072 1869.42 4.44067e-05 1869.43
0.83 252.747 1846.14 2.83716e-05 1846.14
0.84 254.352 1823.05 2.77006e-05 1823.05
0.85 255.884 1800.13 4.08131e-05 1800.13
0.86 257.344 1777.38 4.37453e-05 1777.39
0.87 258.735 1754.84 4.54215e-05 1754.84
0.88 260.056 1732.5 4.54361e-05 1732.51
0.89 261.311 1710.38 4.67863e-05 1710.39
0.9 262.5 1688.49 5.31764e-05 1688.49
0.91 263.625 1666.83 5.15179e-05 1666.84
0.92 264.689 1645.43 4.88557e-05 1645.43
0.93 265.693 1624.29 4.57066e-05 1624.29
0.94 266.638 1603.4 4.30416e-05 1603.4
0.95 267.525 1582.77 3.41378e-05 1582.77
0.96 268.355 1562.39 3.85334e-05 1562.39
0.97 269.13 1542.27 2.89943e-05 1542.27
0.98 269.854 1522.43 3.89e-05 1522.43
0.99 270.527 1502.87 3.22914e-05 1502.88
1 271.151 1483.6 2.58279e-05 1483.6
